iter	Passed	Remaining
0	0	80
1	1	71
2	2	92
3	3	94
4	4	88
5	5	89
6	6	91
7	8	93
8	9	91
9	9	88
10	10	84
11	11	82
12	11	79
13	12	78
14	13	76
15	14	73
16	15	74
17	16	73
18	16	72
19	18	72
20	19	73
21	21	77
22	22	76
23	23	74
24	24	72
25	24	71
26	25	70
27	26	68
28	27	66
29	28	65
30	29	65
31	30	64
32	31	63
33	31	61
34	33	61
35	34	61
36	35	59
37	35	58
38	36	57
39	37	55
40	37	54
41	39	53
42	39	52
43	40	51
44	40	50
45	41	49
46	43	48
47	44	47
48	45	47
49	46	46
50	46	45
51	47	44
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	37
59	54	36
60	54	35
61	55	33
62	56	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	62	25
71	63	24
72	63	23
73	64	22
74	65	21
75	66	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	72	12
85	73	11
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
